Commune;Codepos;Departement;INSEE
AAST;64460;PYRENEES ATLANTIQUES;64001
ABAINVILLE;55130;MEUSE;55001
ABANCOURT;59265;NORD;59001
ABANCOURT;60220;OISE;60001
ABAUCOURT;54610;MEURTHE ET MOSELLE;54001
ABAUCOURT HAUTECOURT;55400;MEUSE;55002
ABBANS DESSOUS;25320;DOUBS;25001
ABBANS DESSUS;25440;DOUBS;25002
ABBARETZ;44170;LOIRE ATLANTIQUE;44001
ABBAZIA;20243;CORSE;20937
ABBECOURT;2300;AISNE;2001
ABBECOURT;60430;OISE;60002
ABBENANS;25340;DOUBS;25003
ABBEVILLE;80100;SOMME;80001
ABBEVILLE LA RIVIERE;91150;ESSONNE;91001
ABBEVILLE LES CONFLANS;54800;MEURTHE ET MOSELLE;54002
ABBEVILLE ST LUCIEN;60480;OISE;60003
ABBEVILLERS;25310;DOUBS;25004
ABEILHAN;34290;HERAULT;34001
ABELCOURT;70300;HAUTE SAONE;70001
ABERE;64160;PYRENEES ATLANTIQUES;64002
ABERGEMENT LA RONCE;39500;JURA;39001
ABERGEMENT LE GRAND;39600;JURA;39002
ABERGEMENT LE PETIT;39800;JURA;39003
ABERGEMENT LES THESY;39110;JURA;39004
ABERGEMENT ST JEAN;39120;JURA;39005
ABERWRACH;29870;FINISTERE;29931
ABIDOS;64150;PYRENEES ATLANTIQUES;64003
ABILLY;37160;INDRE ET LOIRE;37001
ABITAIN;64390;PYRENEES ATLANTIQUES;64004
ABJAT SUR BANDIAT;24300;DORDOGNE;24001
ABLAIN ST NAZAIRE;62153;PAS DE CALAIS;62001
ABLAINCOURT PRESSOIRE;80320;SOMME;80002
ABLAINZEVELLE;62116;PAS DE CALAIS;62002
ABLANCOURT;51240;MARNE;51001
ABLEIGES;95450;VAL D'OISE;95002
ABLIS;78660;YVELINES;78003
ABLON;14600;CALVADOS;14001
ABLON SUR SEINE;94480;VAL DE MARNE;94001
ABOEN;42380;LOIRE;42001
ABONCOURT;54115;MEURTHE ET MOSELLE;54003
ABONCOURT;57920;MOSELLE;57001
ABONCOURT GESINCOURT;70500;HAUTE SAONE;70002
ABONCOURT SUR SEILLE;57590;MOSELLE;57002
ABONDANCE;74360;HAUTE SAVOIE;74001
ABONDANT;28570;EURE ET LOIR;28001
ABOS;64360;PYRENEES ATLANTIQUES;64005
ABRESCHVILLER;57560;MOSELLE;57003
ABREST;3200;ALLIER;3001
ABRIES;5460;HAUTES ALPES;5001
ABSCON;59215;NORD;59002
ABZAC;16500;CHARENTE;16001
ABZAC;33230;GIRONDE;33001
ACCOLANS;25250;DOUBS;25005
ACCOLAY;89460;YONNE;89001
ACCONS;7160;ARDECHE;7001
ACCOUS;64490;PYRENEES ATLANTIQUES;64006
ACHAIN;57340;MOSELLE;57004
ACHEN;57410;MOSELLE;57006
ACHENHEIM;67204;BAS RHIN;67001
ACHERES;18250;CHER;18001
ACHERES;78260;YVELINES;78005
ACHERES LA FORET;77760;SEINE ET MARNE;77001
ACHERY;2800;AISNE;2002
ACHEUX EN AMIENOIS;80560;SOMME;80003
ACHEUX EN VIMEU;80210;SOMME;80004
ACHEVILLE;62320;PAS DE CALAIS;62003
ACHEY;70180;HAUTE SAONE;70003
ACHICOURT;62217;PAS DE CALAIS;62004
ACHIET LE GRAND;62121;PAS DE CALAIS;62005
ACHIET LE PETIT;62121;PAS DE CALAIS;62006
ACHUN;58110;NIEVRE;58001
ACHY;60690;OISE;60004
ACIGNE;35690;ILLE ET VILAINE;35001
ACLOU;27800;EURE;27001
ACON;27570;EURE;27002
ACOUA;97600;MAYOTTE;98501
ACQ;62144;PAS DE CALAIS;62007
ACQUEVILLE;14220;CALVADOS;14002
ACQUEVILLE;50440;MANCHE;50001
ACQUIGNY;27400;EURE;27003
ACQUIN WESTBECOURT;62380;PAS DE CALAIS;62008
ACY;2200;AISNE;2003
ACY EN MULTIEN;60620;OISE;60005
ACY ROMANCE;8300;ARDENNES;8001
ADAINCOURT;57580;MOSELLE;57007
ADAINVILLE;78113;YVELINES;78006
ADAM LES PASSAVANT;25360;DOUBS;25006
ADAM LES VERCEL;25530;DOUBS;25007
ADAMSWILLER;67320;BAS RHIN;67002
ADAST;65260;HAUTES PYRENEES;65001
ADE;65100;HAUTES PYRENEES;65002
ADELANGE;57380;MOSELLE;57008
ADELANS ET LE VAL DE BITH;70200;HAUTE SAONE;70004
ADERVIELLE POUCHERGUES;65240;HAUTES PYRENEES;65003
ADILLY;79200;DEUX SEVRES;79002
ADINFER;62116;PAS DE CALAIS;62009
ADISSAN;34230;HERAULT;34002
ADOMPT;88270;VOSGES;88910
ADON;45230;LOIRET;45001
ADRIERS;86430;VIENNE;86001
AEROPORT D ORLY;94390;VAL DE MARNE;94900
AFA;20167;CORSE;20001
AFAAHITI;98719;POLYNESIE FRANCAISE;98774
AFFIEUX;19260;CORREZE;19001
AFFLEVILLE;54800;MEURTHE ET MOSELLE;54004
AFFOUX;69170;RHONE;69001
AFFRACOURT;54740;MEURTHE ET MOSELLE;54005
AFFRINGUES;62380;PAS DE CALAIS;62010
AGASSAC;31230;HAUTE GARONNE;31001
AGAY;83530;VAR;83920
AGDE;34300;HERAULT;34003
AGEL;34210;HERAULT;34004
AGEN;47000;LOT ET GARONNE;47001
AGEN D AVEYRON;12630;AVEYRON;12001
AGENCOURT;21700;COTE D'OR;21001
AGENVILLE;80370;SOMME;80005
AGENVILLERS;80150;SOMME;80006
AGEVILLE;52340;HAUTE MARNE;52001
AGEY;21410;COTE D'OR;21002
AGHIONE;20270;CORSE;20002
AGINCOURT;54770;MEURTHE ET MOSELLE;54006
AGME;47350;LOT ET GARONNE;47002
AGNAC;47800;LOT ET GARONNE;47003
AGNAT;43100;HAUTE LOIRE;43001
AGNEAUX;50180;MANCHE;50002
AGNETZ;60600;OISE;60007
AGNEZ LES DUISANS;62161;PAS DE CALAIS;62011
AGNICOURT ET SECHELLES;2340;AISNE;2004
AGNIERES;62690;PAS DE CALAIS;62012
AGNIERES;80290;SOMME;80007
AGNIERES EN DEVOLUY;5250;HAUTES ALPES;5002
AGNIN;38150;ISERE;38003
AGNOS;64400;PYRENEES ATLANTIQUES;64007
AGNY;62217;PAS DE CALAIS;62013
AGON COUTAINVILLE;50230;MANCHE;50003
AGONAC;24460;DORDOGNE;24002
AGONES;34190;HERAULT;34005
AGONGES;3210;ALLIER;3002
AGONNAY;17350;CHARENTE MARITIME;17001
